region,PSY_z,SUD_z,shared_alteration,PSY_contribution_%
CTX_66,-0.07390444444444444,-0.19499999999999998,-0.1344522222222222,27.48353401042915
CTX_67,-0.12383444444444446,-0.12333333333333335,-0.12358388888888891,50.10137063892722
CTX_68,-0.14567222222222226,-0.16,-0.15283611111111112,47.656349393867806
L_Thalamus,-0.16080777777777777,-0.11666666666666668,-0.13873722222222223,57.95408586176104
L_Caudate,-0.03840222222222221,-0.13999999999999999,-0.08920111111111109,21.525641185336504
L_Putamen,-0.05044888888888888,-0.03666666666666666,-0.04355777777777777,57.910310698433754
L_Pallidum,0.012106666666666667,-0.05833333333333334,-0.023113333333333336,17.18720424001514
L_Hippocampus,-0.17488666666666666,-0.20500000000000004,-0.18994333333333335,46.03653721285295
L_Amygdala,-0.14979333333333333,-0.19499999999999998,-0.17239666666666664,43.444382141959444
L_Accumbens,-0.09825555555555557,-0.015,-0.056627777777777784,86.75561659962719
R_Thalamus,-0.16808777777777778,-0.13,-0.1490438888888889,56.38868491383969
R_Caudate,-0.038856666666666664,-0.11,-0.07442833333333333,26.103410439572745
R_Putamen,-0.04295222222222222,0.01,-0.016476111111111108,81.11505130411062
R_Pallidum,0.00044111111111109894,-0.09666666666666668,-0.04811277777777779,0.45424900168196736
R_Hippocampus,-0.1844511111111111,-0.18833333333333335,-0.18639222222222224,49.47929396195596
R_Amygdala,-0.15354555555555555,-0.135,-0.14427277777777778,53.213626964353786
R_Accumbens,-0.09737555555555556,-0.09000000000000001,-0.09368777777777779,51.968121064054365
